Date,Region_Name,Average_Price
01/04/1968,Scotland,2738
01/05/1968,Scotland,2738
01/06/1968,Scotland,2738
01/07/1968,Scotland,3001
01/08/1968,Scotland,3001
01/09/1968,Scotland,3001
01/10/1968,Scotland,2811
01/11/1968,Scotland,2811
01/12/1968,Scotland,2811
01/01/1969,Scotland,3031
01/02/1969,Scotland,3031
01/03/1969,Scotland,3031
01/04/1969,Scotland,3060
01/05/1969,Scotland,3060
01/06/1969,Scotland,3060
01/07/1969,Scotland,3031
01/08/1969,Scotland,3031
01/09/1969,Scotland,3031
01/10/1969,Scotland,3001
01/11/1969,Scotland,3001
01/12/1969,Scotland,3001
01/01/1970,Scotland,3104
01/02/1970,Scotland,3104
01/03/1970,Scotland,3104
01/04/1970,Scotland,3294
01/05/1970,Scotland,3294
01/06/1970,Scotland,3294
01/07/1970,Scotland,3236
01/08/1970,Scotland,3236
01/09/1970,Scotland,3236
01/10/1970,Scotland,3353
01/11/1970,Scotland,3353
01/12/1970,Scotland,3353
01/01/1971,Scotland,3294
01/02/1971,Scotland,3294
01/03/1971,Scotland,3294
01/04/1971,Scotland,3353
01/05/1971,Scotland,3353
01/06/1971,Scotland,3353
01/07/1971,Scotland,3719
01/08/1971,Scotland,3719
01/09/1971,Scotland,3719
01/10/1971,Scotland,3558
01/11/1971,Scotland,3558
01/12/1971,Scotland,3558
01/01/1972,Scotland,3733
01/02/1972,Scotland,3733
01/03/1972,Scotland,3733
01/04/1972,Scotland,4114
01/05/1972,Scotland,4114
01/06/1972,Scotland,4114
01/07/1972,Scotland,4363
01/08/1972,Scotland,4363
01/09/1972,Scotland,4363
01/10/1972,Scotland,4392
01/11/1972,Scotland,4392
01/12/1972,Scotland,4392
01/01/1973,Scotland,5066
01/02/1973,Scotland,5066
01/03/1973,Scotland,5066
01/04/1973,Scotland,5256
01/05/1973,Scotland,5256
01/06/1973,Scotland,5256
01/07/1973,Scotland,6120
01/08/1973,Scotland,6120
01/09/1973,Scotland,6120
01/10/1973,Scotland,6046
01/11/1973,Scotland,6046
01/12/1973,Scotland,6046
01/01/1974,Scotland,6237
01/02/1974,Scotland,6237
01/03/1974,Scotland,6237
01/04/1974,Scotland,6398
01/05/1974,Scotland,6398
01/06/1974,Scotland,6398
01/07/1974,Scotland,6456
01/08/1974,Scotland,6456
01/09/1974,Scotland,6456
01/10/1974,Scotland,6442
01/11/1974,Scotland,6442
01/12/1974,Scotland,6442
01/01/1975,Scotland,6691
01/02/1975,Scotland,6691
01/03/1975,Scotland,6691
01/04/1975,Scotland,6983
01/05/1975,Scotland,6983
01/06/1975,Scotland,6983
01/07/1975,Scotland,7525
01/08/1975,Scotland,7525
01/09/1975,Scotland,7525
01/10/1975,Scotland,7657
01/11/1975,Scotland,7657
01/12/1975,Scotland,7657
01/01/1976,Scotland,8096
01/02/1976,Scotland,8096
01/03/1976,Scotland,8096
01/04/1976,Scotland,8579
01/05/1976,Scotland,8579
01/06/1976,Scotland,8579
01/07/1976,Scotland,8887
01/08/1976,Scotland,8887
01/09/1976,Scotland,8887
01/10/1976,Scotland,8901
01/11/1976,Scotland,8901
01/12/1976,Scotland,8901
01/01/1977,Scotland,9018
01/02/1977,Scotland,9018
01/03/1977,Scotland,9018
01/04/1977,Scotland,9180
01/05/1977,Scotland,9180
01/06/1977,Scotland,9180
01/07/1977,Scotland,9619
01/08/1977,Scotland,9619
01/09/1977,Scotland,9619
01/10/1977,Scotland,9853
01/11/1977,Scotland,9853
01/12/1977,Scotland,9853
01/01/1978,Scotland,9765
01/02/1978,Scotland,9765
01/03/1978,Scotland,9765
01/04/1978,Scotland,10278
01/05/1978,Scotland,10278
01/06/1978,Scotland,10278
01/07/1978,Scotland,10980
01/08/1978,Scotland,10980
01/09/1978,Scotland,10980
01/10/1978,Scotland,11522
01/11/1978,Scotland,11522
01/12/1978,Scotland,11522
01/01/1979,Scotland,11815
01/02/1979,Scotland,11815
01/03/1979,Scotland,11815
01/04/1979,Scotland,12313
01/05/1979,Scotland,12313
01/06/1979,Scotland,12313
01/07/1979,Scotland,13425
01/08/1979,Scotland,13425
01/09/1979,Scotland,13425
01/10/1979,Scotland,13396
01/11/1979,Scotland,13396
01/12/1979,Scotland,13396
01/01/1980,Scotland,14040
01/02/1980,Scotland,14040
01/03/1980,Scotland,14040
01/04/1980,Scotland,14157
01/05/1980,Scotland,14157
01/06/1980,Scotland,14157
01/07/1980,Scotland,15167
01/08/1980,Scotland,15167
01/09/1980,Scotland,15167
01/10/1980,Scotland,14933
01/11/1980,Scotland,14933
01/12/1980,Scotland,14933
01/01/1981,Scotland,15358
01/02/1981,Scotland,15358
01/03/1981,Scotland,15358
01/04/1981,Scotland,16134
01/05/1981,Scotland,16134
01/06/1981,Scotland,16134
01/07/1981,Scotland,16295
01/08/1981,Scotland,16295
01/09/1981,Scotland,16295
01/10/1981,Scotland,16368
01/11/1981,Scotland,16368
01/12/1981,Scotland,16368
01/01/1982,Scotland,16295
01/02/1982,Scotland,16295
01/03/1982,Scotland,16295
01/04/1982,Scotland,17027
01/05/1982,Scotland,17027
01/06/1982,Scotland,17027
01/07/1982,Scotland,17173
01/08/1982,Scotland,17173
01/09/1982,Scotland,17173
01/10/1982,Scotland,17729
01/11/1982,Scotland,17729
01/12/1982,Scotland,17729
01/01/1983,Scotland,18154
01/02/1983,Scotland,18154
01/03/1983,Scotland,18154
01/04/1983,Scotland,19472
01/05/1983,Scotland,19472
01/06/1983,Scotland,19472
01/07/1983,Scotland,19032
01/08/1983,Scotland,19032
01/09/1983,Scotland,19032
01/10/1983,Scotland,19911
01/11/1983,Scotland,19911
01/12/1983,Scotland,19911
01/01/1984,Scotland,19325
01/02/1984,Scotland,19325
01/03/1984,Scotland,19325
01/04/1984,Scotland,20204
01/05/1984,Scotland,20204
01/06/1984,Scotland,20204
01/07/1984,Scotland,20936
01/08/1984,Scotland,20936
01/09/1984,Scotland,20936
01/10/1984,Scotland,20789
01/11/1984,Scotland,20789
01/12/1984,Scotland,20789
01/01/1985,Scotland,20643
01/02/1985,Scotland,20643
01/03/1985,Scotland,20643
01/04/1985,Scotland,21668
01/05/1985,Scotland,21668
01/06/1985,Scotland,21668
01/07/1985,Scotland,21521
01/08/1985,Scotland,21521
01/09/1985,Scotland,21521
01/10/1985,Scotland,21961
01/11/1985,Scotland,21961
01/12/1985,Scotland,21961
01/01/1986,Scotland,22107
01/02/1986,Scotland,22107
01/03/1986,Scotland,22107
01/04/1986,Scotland,22693
01/05/1986,Scotland,22693
01/06/1986,Scotland,22693
01/07/1986,Scotland,22693
01/08/1986,Scotland,22693
01/09/1986,Scotland,22693
01/10/1986,Scotland,23132
01/11/1986,Scotland,23132
01/12/1986,Scotland,23132
01/01/1987,Scotland,23571
01/02/1987,Scotland,23571
01/03/1987,Scotland,23571
01/04/1987,Scotland,24303
01/05/1987,Scotland,24303
01/06/1987,Scotland,24303
01/07/1987,Scotland,24010
01/08/1987,Scotland,24010
01/09/1987,Scotland,24010
01/10/1987,Scotland,24964
01/11/1987,Scotland,24964
01/12/1987,Scotland,24964
01/01/1988,Scotland,23888
01/02/1988,Scotland,23888
01/03/1988,Scotland,23888
01/04/1988,Scotland,25609
01/05/1988,Scotland,25609
01/06/1988,Scotland,25609
01/07/1988,Scotland,27116
01/08/1988,Scotland,27116
01/09/1988,Scotland,27116
01/10/1988,Scotland,27977
01/11/1988,Scotland,27977
01/12/1988,Scotland,27977
01/01/1989,Scotland,28407
01/02/1989,Scotland,28407
01/03/1989,Scotland,28407
01/04/1989,Scotland,30129
01/05/1989,Scotland,30129
01/06/1989,Scotland,30129
01/07/1989,Scotland,31205
01/08/1989,Scotland,31205
01/09/1989,Scotland,31205
01/10/1989,Scotland,33357
01/11/1989,Scotland,33357
01/12/1989,Scotland,33357
01/01/1990,Scotland,32588
01/02/1990,Scotland,32588
01/03/1990,Scotland,32588
01/04/1990,Scotland,33624
01/05/1990,Scotland,33624
01/06/1990,Scotland,33624
01/07/1990,Scotland,34797
01/08/1990,Scotland,34797
01/09/1990,Scotland,34797
01/10/1990,Scotland,36351
01/11/1990,Scotland,36351
01/12/1990,Scotland,36351
01/01/1991,Scotland,38491
01/02/1991,Scotland,38491
01/03/1991,Scotland,38491
01/04/1991,Scotland,36558
01/05/1991,Scotland,36558
01/06/1991,Scotland,36558
01/07/1991,Scotland,36316
01/08/1991,Scotland,36316
01/09/1991,Scotland,36316
01/10/1991,Scotland,37973
01/11/1991,Scotland,37973
01/12/1991,Scotland,37973
01/01/1992,Scotland,38733
01/02/1992,Scotland,38733
01/03/1992,Scotland,38733
01/04/1992,Scotland,38802
01/05/1992,Scotland,38802
01/06/1992,Scotland,38802
01/07/1992,Scotland,39522
01/08/1992,Scotland,39522
01/09/1992,Scotland,39522
01/10/1992,Scotland,39962
01/11/1992,Scotland,39962
01/12/1992,Scotland,39962
01/01/1993,Scotland,37882
01/02/1993,Scotland,37882
01/03/1993,Scotland,37882
01/04/1993,Scotland,41002
01/05/1993,Scotland,41002
01/06/1993,Scotland,41002
01/07/1993,Scotland,41082
01/08/1993,Scotland,41082
01/09/1993,Scotland,41082
01/10/1993,Scotland,39162
01/11/1993,Scotland,39162
01/12/1993,Scotland,39162
01/01/1994,Scotland,39042
01/02/1994,Scotland,39042
01/03/1994,Scotland,39042
01/04/1994,Scotland,40602
01/05/1994,Scotland,40602
01/06/1994,Scotland,40602
01/07/1994,Scotland,41522
01/08/1994,Scotland,41522
01/09/1994,Scotland,41522
01/10/1994,Scotland,40482
01/11/1994,Scotland,40482
01/12/1994,Scotland,40482
01/01/1995,Scotland,38802
01/02/1995,Scotland,38802
01/03/1995,Scotland,38802
01/04/1995,Scotland,39442
01/05/1995,Scotland,39442
01/06/1995,Scotland,39442
01/07/1995,Scotland,42242
01/08/1995,Scotland,42242
01/09/1995,Scotland,42242
01/10/1995,Scotland,41442
01/11/1995,Scotland,41442
01/12/1995,Scotland,41442
01/01/1996,Scotland,43242
01/02/1996,Scotland,43242
01/03/1996,Scotland,43242
01/04/1996,Scotland,40642
01/05/1996,Scotland,40642
01/06/1996,Scotland,40642
01/07/1996,Scotland,42322
01/08/1996,Scotland,42322
01/09/1996,Scotland,42322
01/10/1996,Scotland,42602
01/11/1996,Scotland,42602
01/12/1996,Scotland,42602
01/01/1997,Scotland,41802
01/02/1997,Scotland,41802
01/03/1997,Scotland,41802
01/04/1997,Scotland,44242
01/05/1997,Scotland,44242
01/06/1997,Scotland,44242
01/07/1997,Scotland,45442
01/08/1997,Scotland,45442
01/09/1997,Scotland,45442
01/10/1997,Scotland,45522
01/11/1997,Scotland,45522
01/12/1997,Scotland,45522
01/01/1998,Scotland,44642
01/02/1998,Scotland,44642
01/03/1998,Scotland,44642
01/04/1998,Scotland,46282
01/05/1998,Scotland,46282
01/06/1998,Scotland,46282
01/07/1998,Scotland,48562
01/08/1998,Scotland,48562
01/09/1998,Scotland,48562
01/10/1998,Scotland,46682
01/11/1998,Scotland,46682
01/12/1998,Scotland,46682
01/01/1999,Scotland,44962
01/02/1999,Scotland,44962
01/03/1999,Scotland,44962
01/04/1999,Scotland,47362
01/05/1999,Scotland,47362
01/06/1999,Scotland,47362
01/07/1999,Scotland,49922
01/08/1999,Scotland,49922
01/09/1999,Scotland,49922
01/10/1999,Scotland,49922
01/11/1999,Scotland,49922
01/12/1999,Scotland,49922
01/01/2000,Scotland,49682
01/02/2000,Scotland,49682
01/03/2000,Scotland,49682
01/04/2000,Scotland,49442
01/05/2000,Scotland,49442
01/06/2000,Scotland,49442
01/07/2000,Scotland,49762
01/08/2000,Scotland,49762
01/09/2000,Scotland,49762
01/10/2000,Scotland,49682
01/11/2000,Scotland,49682
01/12/2000,Scotland,49682
01/01/2001,Scotland,52082
01/02/2001,Scotland,52082
01/03/2001,Scotland,52082
01/04/2001,Scotland,50762
01/05/2001,Scotland,50762
01/06/2001,Scotland,50762
01/07/2001,Scotland,52202
01/08/2001,Scotland,52202
01/09/2001,Scotland,52202
01/10/2001,Scotland,52602
01/11/2001,Scotland,52602
01/12/2001,Scotland,52602
01/01/2002,Scotland,51627
01/02/2002,Scotland,53722
01/03/2002,Scotland,55818
01/04/2002,Scotland,56623
01/05/2002,Scotland,58181
01/06/2002,Scotland,60491
01/07/2002,Scotland,60653
01/08/2002,Scotland,60814
01/09/2002,Scotland,62103
01/10/2002,Scotland,61512
01/11/2002,Scotland,61996
01/12/2002,Scotland,64252
01/01/2003,Scotland,62210
01/02/2003,Scotland,57913
01/03/2003,Scotland,61297
01/04/2003,Scotland,64950
01/05/2003,Scotland,65004
01/06/2003,Scotland,66025
01/07/2003,Scotland,68389
01/08/2003,Scotland,70323
01/09/2003,Scotland,70108
01/10/2003,Scotland,72955
01/11/2003,Scotland,71988
01/12/2003,Scotland,74191
01/01/2004,Scotland,76662
01/02/2004,Scotland,75645
01/03/2004,Scotland,78418
01/04/2004,Scotland,83623
01/05/2004,Scotland,85015
01/06/2004,Scotland,89148
01/07/2004,Scotland,91287
01/08/2004,Scotland,91270
01/09/2004,Scotland,89835
01/10/2004,Scotland,91511
01/11/2004,Scotland,91130
01/12/2004,Scotland,93321
01/01/2005,Scotland,90440
01/02/2005,Scotland,90028
01/03/2005,Scotland,92995
01/04/2005,Scotland,98866
01/05/2005,Scotland,99902
01/06/2005,Scotland,103919
01/07/2005,Scotland,105856
01/08/2005,Scotland,105951
01/09/2005,Scotland,106034
01/10/2005,Scotland,105467
01/11/2005,Scotland,104885
01/12/2005,Scotland,106541
01/01/2006,Scotland,105257
01/02/2006,Scotland,103309
01/03/2006,Scotland,107282
01/04/2006,Scotland,111829
01/05/2006,Scotland,114395
01/06/2006,Scotland,115914
01/07/2006,Scotland,118077
01/08/2006,Scotland,119737
01/09/2006,Scotland,121628
01/10/2006,Scotland,118828
01/11/2006,Scotland,120670
01/12/2006,Scotland,122894
01/01/2007,Scotland,121923
01/02/2007,Scotland,119596
01/03/2007,Scotland,124226
01/04/2007,Scotland,130471
01/05/2007,Scotland,133535
01/06/2007,Scotland,136549
01/07/2007,Scotland,136470
01/08/2007,Scotland,137886
01/09/2007,Scotland,136930
01/10/2007,Scotland,134287
01/11/2007,Scotland,136189
01/12/2007,Scotland,134469
01/01/2008,Scotland,133172
01/02/2008,Scotland,132325
01/03/2008,Scotland,132653
01/04/2008,Scotland,134077
01/05/2008,Scotland,140152
01/06/2008,Scotland,136219
01/07/2008,Scotland,134444
01/08/2008,Scotland,132590
01/09/2008,Scotland,127429
01/10/2008,Scotland,128794
01/11/2008,Scotland,124927
01/12/2008,Scotland,121026
01/01/2009,Scotland,119792
01/02/2009,Scotland,116433
01/03/2009,Scotland,120988
01/04/2009,Scotland,122189
01/05/2009,Scotland,125773
01/06/2009,Scotland,127072
01/07/2009,Scotland,128109
01/08/2009,Scotland,127658
01/09/2009,Scotland,126761
01/10/2009,Scotland,127904
01/11/2009,Scotland,129125
01/12/2009,Scotland,128022
01/01/2010,Scotland,124112
01/02/2010,Scotland,121755
01/03/2010,Scotland,124038
01/04/2010,Scotland,128143
01/05/2010,Scotland,127965
01/06/2010,Scotland,129189
01/07/2010,Scotland,130339
01/08/2010,Scotland,128781
01/09/2010,Scotland,128715
01/10/2010,Scotland,128708
01/11/2010,Scotland,126552
01/12/2010,Scotland,124867
01/01/2011,Scotland,124856
01/02/2011,Scotland,121170
01/03/2011,Scotland,121416
01/04/2011,Scotland,124954
01/05/2011,Scotland,124938
01/06/2011,Scotland,126264
01/07/2011,Scotland,128400
01/08/2011,Scotland,127523
01/09/2011,Scotland,126976
01/10/2011,Scotland,124255
01/11/2011,Scotland,123373
01/12/2011,Scotland,121178
01/01/2012,Scotland,120989
01/02/2012,Scotland,117292
01/03/2012,Scotland,120685
01/04/2012,Scotland,120417
01/05/2012,Scotland,121688
01/06/2012,Scotland,123523
01/07/2012,Scotland,122685
01/08/2012,Scotland,121958
01/09/2012,Scotland,121080
01/10/2012,Scotland,119920
01/11/2012,Scotland,118524
01/12/2012,Scotland,117574
01/01/2013,Scotland,117973
01/02/2013,Scotland,115650
01/03/2013,Scotland,116783
01/04/2013,Scotland,118758
01/05/2013,Scotland,120633
01/06/2013,Scotland,122327
01/07/2013,Scotland,123580
01/08/2013,Scotland,124889
01/09/2013,Scotland,122961
01/10/2013,Scotland,122611
01/11/2013,Scotland,123781
01/12/2013,Scotland,122231
01/01/2014,Scotland,122220
01/02/2014,Scotland,120322
01/03/2014,Scotland,121877
01/04/2014,Scotland,124711
01/05/2014,Scotland,126714
01/06/2014,Scotland,128414
01/07/2014,Scotland,130067
01/08/2014,Scotland,130465
01/09/2014,Scotland,129726
01/10/2014,Scotland,129927
01/11/2014,Scotland,128308
01/12/2014,Scotland,127668
01/01/2015,Scotland,129869
01/02/2015,Scotland,127575
01/03/2015,Scotland,134523
01/04/2015,Scotland,128978
01/05/2015,Scotland,130564
01/06/2015,Scotland,131762
01/07/2015,Scotland,133810
01/08/2015,Scotland,133341
01/09/2015,Scotland,133035
01/10/2015,Scotland,132471
01/11/2015,Scotland,133255
01/12/2015,Scotland,131549
01/01/2016,Scotland,131634
01/02/2016,Scotland,129551
01/03/2016,Scotland,131107
01/04/2016,Scotland,131303
01/05/2016,Scotland,133044
01/06/2016,Scotland,134949
01/07/2016,Scotland,136931
01/08/2016,Scotland,135571
01/09/2016,Scotland,135236
01/10/2016,Scotland,134368
01/11/2016,Scotland,135543
01/12/2016,Scotland,132996
01/01/2017,Scotland,133141
01/02/2017,Scotland,130885
01/03/2017,Scotland,131731
01/04/2017,Scotland,135773
01/05/2017,Scotland,136715
01/06/2017,Scotland,138220
01/07/2017,Scotland,142004
01/08/2017,Scotland,141685
01/09/2017,Scotland,139082
01/10/2017,Scotland,139591
01/11/2017,Scotland,140834
01/12/2017,Scotland,139761
01/01/2018,Scotland,141353
01/02/2018,Scotland,140480
01/03/2018,Scotland,139202
01/04/2018,Scotland,142832
01/05/2018,Scotland,143019
01/06/2018,Scotland,144308
01/07/2018,Scotland,146056
01/08/2018,Scotland,146404
01/09/2018,Scotland,145738
01/10/2018,Scotland,145816
01/11/2018,Scotland,143919
01/12/2018,Scotland,142681
01/01/2019,Scotland,144124
01/02/2019,Scotland,141355
01/03/2019,Scotland,143985
01/04/2019,Scotland,145110
01/05/2019,Scotland,145709
01/06/2019,Scotland,146925
01/07/2019,Scotland,148942
01/08/2019,Scotland,148383
01/09/2019,Scotland,149037
01/10/2019,Scotland,148150
01/11/2019,Scotland,146779
01/12/2019,Scotland,144623
01/01/2020,Scotland,147731
01/02/2020,Scotland,143944
01/03/2020,Scotland,144948
01/04/2020,Scotland,146059
01/05/2020,Scotland,147150
01/06/2020,Scotland,149474
01/07/2020,Scotland,148755
01/08/2020,Scotland,148875
01/09/2020,Scotland,154532
01/10/2020,Scotland,156874
01/11/2020,Scotland,157849
01/12/2020,Scotland,156254
01/01/2021,Scotland,157866
01/02/2021,Scotland,155612
01/03/2021,Scotland,160963
01/04/2021,Scotland,154719
01/05/2021,Scotland,161935
01/06/2021,Scotland,165261
01/07/2021,Scotland,168799
01/08/2021,Scotland,170669
01/09/2021,Scotland,170829
01/10/2021,Scotland,170955
01/11/2021,Scotland,172873
01/12/2021,Scotland,169213
01/01/2022,Scotland,173589
01/02/2022,Scotland,170905
01/03/2022,Scotland,171510
01/04/2022,Scotland,175109
01/05/2022,Scotland,177326
01/06/2022,Scotland,181120
01/07/2022,Scotland,182979
01/08/2022,Scotland,183378
01/09/2022,Scotland,181639
01/10/2022,Scotland,182341
01/11/2022,Scotland,180523
01/12/2022,Scotland,175560
01/01/2023,Scotland,175092
01/02/2023,Scotland,171282
01/03/2023,Scotland,173352
01/04/2023,Scotland,175512
01/05/2023,Scotland,179854
01/06/2023,Scotland,177705
01/07/2023,Scotland,181013
01/08/2023,Scotland,182593
01/09/2023,Scotland,180364
01/10/2023,Scotland,180051
01/11/2023,Scotland,179184
01/12/2023,Scotland,176538
01/01/2024,Scotland,179248
01/02/2024,Scotland,175883
01/03/2024,Scotland,177778
01/04/2024,Scotland,180647
