Date,Region_Name,Average_Price
01/04/1968,England,3218
01/05/1968,England,3218
01/06/1968,England,3218
01/07/1968,England,3327
01/08/1968,England,3327
01/09/1968,England,3327
01/10/1968,England,3309
01/11/1968,England,3309
01/12/1968,England,3309
01/01/1969,England,3364
01/02/1969,England,3364
01/03/1969,England,3364
01/04/1969,England,3419
01/05/1969,England,3419
01/06/1969,England,3419
01/07/1969,England,3474
01/08/1969,England,3474
01/09/1969,England,3474
01/10/1969,England,3492
01/11/1969,England,3492
01/12/1969,England,3492
01/01/1970,England,3510
01/02/1970,England,3510
01/03/1970,England,3510
01/04/1970,England,3565
01/05/1970,England,3565
01/06/1970,England,3565
01/07/1970,England,3730
01/08/1970,England,3730
01/09/1970,England,3730
01/10/1970,England,3730
01/11/1970,England,3730
01/12/1970,England,3730
01/01/1971,England,3839
01/02/1971,England,3839
01/03/1971,England,3839
01/04/1971,England,3949
01/05/1971,England,3949
01/06/1971,England,3949
01/07/1971,England,4168
01/08/1971,England,4168
01/09/1971,England,4168
01/10/1971,England,4388
01/11/1971,England,4388
01/12/1971,England,4388
01/01/1972,England,4644
01/02/1972,England,4644
01/03/1972,England,4644
01/04/1972,England,5119
01/05/1972,England,5119
01/06/1972,England,5119
01/07/1972,England,5905
01/08/1972,England,5905
01/09/1972,England,5905
01/10/1972,England,6563
01/11/1972,England,6563
01/12/1972,England,6563
01/01/1973,England,7075
01/02/1973,England,7075
01/03/1973,England,7075
01/04/1973,England,7423
01/05/1973,England,7423
01/06/1973,England,7423
01/07/1973,England,7898
01/08/1973,England,7898
01/09/1973,England,7898
01/10/1973,England,7971
01/11/1973,England,7971
01/12/1973,England,7971
01/01/1974,England,8081
01/02/1974,England,8081
01/03/1974,England,8081
01/04/1974,England,8081
01/05/1974,England,8081
01/06/1974,England,8081
01/07/1974,England,8136
01/08/1974,England,8136
01/09/1974,England,8136
01/10/1974,England,8245
01/11/1974,England,8245
01/12/1974,England,8245
01/01/1975,England,8264
01/02/1975,England,8264
01/03/1975,England,8264
01/04/1975,England,8501
01/05/1975,England,8501
01/06/1975,England,8501
01/07/1975,England,8702
01/08/1975,England,8702
01/09/1975,England,8702
01/10/1975,England,8812
01/11/1975,England,8812
01/12/1975,England,8812
01/01/1976,England,8958
01/02/1976,England,8958
01/03/1976,England,8958
01/04/1976,England,9178
01/05/1976,England,9178
01/06/1976,England,9178
01/07/1976,England,9379
01/08/1976,England,9379
01/09/1976,England,9379
01/10/1976,England,9543
01/11/1976,England,9543
01/12/1976,England,9543
01/01/1977,England,9617
01/02/1977,England,9617
01/03/1977,England,9617
01/04/1977,England,9745
01/05/1977,England,9745
01/06/1977,England,9745
01/07/1977,England,10037
01/08/1977,England,10037
01/09/1977,England,10037
01/10/1977,England,10348
01/11/1977,England,10348
01/12/1977,England,10348
01/01/1978,England,10567
01/02/1978,England,10567
01/03/1978,England,10567
01/04/1978,England,11097
01/05/1978,England,11097
01/06/1978,England,11097
01/07/1978,England,11884
01/08/1978,England,11884
01/09/1978,England,11884
01/10/1978,England,12743
01/11/1978,England,12743
01/12/1978,England,12743
01/01/1979,England,13419
01/02/1979,England,13419
01/03/1979,England,13419
01/04/1979,England,14480
01/05/1979,England,14480
01/06/1979,England,14480
01/07/1979,England,15540
01/08/1979,England,15540
01/09/1979,England,15540
01/10/1979,England,16655
01/11/1979,England,16655
01/12/1979,England,16655
01/01/1980,England,17350
01/02/1980,England,17350
01/03/1980,England,17350
01/04/1980,England,18063
01/05/1980,England,18063
01/06/1980,England,18063
01/07/1980,England,18630
01/08/1980,England,18630
01/09/1980,England,18630
01/10/1980,England,18813
01/11/1980,England,18813
01/12/1980,England,18813
01/01/1981,England,18849
01/02/1981,England,18849
01/03/1981,England,18849
01/04/1981,England,19343
01/05/1981,England,19343
01/06/1981,England,19343
01/07/1981,England,19599
01/08/1981,England,19599
01/09/1981,England,19599
01/10/1981,England,19270
01/11/1981,England,19270
01/12/1981,England,19270
01/01/1982,England,18740
01/02/1982,England,18740
01/03/1982,England,18740
01/04/1982,England,19526
01/05/1982,England,19526
01/06/1982,England,19526
01/07/1982,England,20038
01/08/1982,England,20038
01/09/1982,England,20038
01/10/1982,England,20312
01/11/1982,England,20312
01/12/1982,England,20312
01/01/1983,England,21025
01/02/1983,England,21025
01/03/1983,England,21025
01/04/1983,England,21573
01/05/1983,England,21573
01/06/1983,England,21573
01/07/1983,England,22487
